Date,next_date,model_return,benchmark_return,active_return,top_equal_return,bottom_equal_return,top_sectors,bottom_sectors,model_nav,benchmark_nav,active_nav
2010-01-31,2010-02-28,-0.000967717572870598,-0.0028685434997547995,0.0019008259268842014,0.006859589210375262,-0.007892174817136218,Basic Resources|Banks|Personal & Household Goods,Utilities|Media|Insurance,0.9990322824271294,0.9971314565002452,1.0019062942147625
2010-02-28,2010-03-31,0.08288182233947766,0.07787172602782064,0.005010096311657025,0.10152062999088661,0.07061226582700265,Basic Resources|Banks|Personal & Household Goods,Utilities|Media|Energy,1.0818338985706575,1.074779804094554,1.0065632927314319
2010-03-31,2010-04-30,-0.01300510852139903,-0.00927180308450736,-0.0037333054368916697,-0.029745548813231108,0.002195687967506526,Basic Resources|Personal & Household Goods|Banks,Utilities|Media|Energy,1.0677645313176178,1.0648146573917838,1.002770316792088
2010-04-30,2010-05-31,-0.04397146451975927,-0.04800403688167921,0.004032572361919937,-0.03342194132043943,-0.06116826445546813,Basic Resources|Personal & Household Goods|Industrial Goods and Services,Utilities|Energy|Media,1.0208133611133279,1.013699255306196,1.0070179649140443
2010-05-31,2010-06-30,0.0007386787944855516,-0.005796391526949931,0.006535070321435483,-0.0037129946387839765,-0.04746566506561308,Basic Resources|Personal & Household Goods|Industrial Goods and Services,Utilities|Energy|Insurance,1.0215674142963098,1.0078234575318639,1.0136372661915456
2010-06-30,2010-07-31,0.04627342468786232,0.05091222705221158,-0.0046388023643492565,0.040901898478094716,0.07182724757375639,Basic Resources|Personal & Household Goods|Industrial Goods and Services,Utilities|Energy|Insurance,1.0688388371053243,1.059133994230271,1.009162998192789
2010-07-31,2010-08-31,-0.015184261533045185,-0.015492522376541303,0.0003082608434961179,-0.026803295709819264,-0.029425963691923993,Personal & Household Goods|Automobiles and Parts|Industrial Goods and Services,Utilities|Energy|Insurance,1.0526093086660413,1.042725337124903,1.0094789789690843
2010-08-31,2010-09-30,0.04926663023613741,0.03814644706160977,0.011120183174527634,0.10984145854237452,0.03836399727790109,Automobiles and Parts|Personal & Household Goods|Industrial Goods and Services,Utilities|Energy|Construction and Materials,1.1044678222592073,1.0825016039973372,1.0202920884188584
2010-09-30,2010-10-31,0.023264872190345974,0.02466653638498862,-0.0014016641946426461,0.028308136409735965,0.03724215363683949,Automobiles and Parts|Industrial Goods and Services|Personal & Household Goods,Utilities|Construction and Materials|Insurance,1.1301631249824173,1.1092031691991462,1.0188964081290937
2010-10-31,2010-11-30,-0.0009325059399730479,-0.01368147617719448,0.012748970237221432,0.04425152122758563,-0.04170247119734514,Automobiles and Parts|Industrial Goods and Services|Personal & Household Goods,Construction and Materials|Utilities|Insurance,1.1291092411552326,1.0940276324640794,1.0320664740543517
2010-11-30,2010-12-31,0.05086196414298302,0.05395221310493949,-0.0030902489619564766,0.044561461612681014,0.07280957132675216,Automobiles and Parts|Industrial Goods and Services|Personal & Household Goods,Construction and Materials|Utilities|Insurance,1.186537954892381,1.1530528444334738,1.0290403953474996
2010-12-31,2011-01-31,0.01845408649086582,0.01650437977763367,0.0019497067132321529,0.009575943643745073,-0.005178794739287625,Automobiles and Parts|Industrial Goods and Services|Travel and Leisure,"Construction and Materials|Utilities|Food, Beverage and Tobacco",1.20843442893666,1.1720832664816845,1.0310141467714091
2011-01-31,2011-02-28,0.02198261048827101,0.024108900783145145,-0.002126290294874135,0.0030784778068251497,0.016427565151772825,Automobiles and Parts|Industrial Goods and Services|Travel and Leisure,"Construction and Materials|Utilities|Food, Beverage and Tobacco",1.2349989722885908,1.2003409056628762,1.028873519566156
2011-02-28,2011-03-31,-0.03221000850274405,-0.03097682770952902,-0.0012331807932150322,-0.023900783625224364,-0.009968179675312229,Automobiles and Parts|Industrial Goods and Services|Travel and Leisure,"Construction and Materials|Food, Beverage and Tobacco|Utilities",1.1952196448902952,1.1631581522354573,1.0275641731033904
2011-03-31,2011-04-30,0.042044745623785365,0.03502507664093932,0.007019668982846047,0.08076412367931395,0.033966330460340345,Automobiles and Parts|Industrial Goods and Services|Chemicals,"Banks|Food, Beverage and Tobacco|Utilities",1.2454723508242587,1.2038978556630375,1.0345332413091843
2011-04-30,2011-05-31,-0.0013888288266694416,0.0006198535525161948,-0.0020086823791856364,-0.012820309834056708,0.0005709060271808647,Automobiles and Parts|Industrial Goods and Services|Chemicals,"Banks|Food, Beverage and Tobacco|Utilities",1.2437426029206142,1.2046440960257367,1.0324564799046192
2011-05-31,2011-06-30,-0.015957749605171486,-0.025279549121239087,0.0093217995160676,0.01685897852451368,-0.04943833873411399,Automobiles and Parts|Chemicals|Industrial Goods and Services,"Banks|Food, Beverage and Tobacco|Retail",1.2238952698899228,1.1741912364266436,1.0423304415169552
2011-06-30,2011-07-31,-0.028690169738306716,-0.026601087081606554,-0.002089082656700162,-0.04034658265658687,-0.025803419738665085,Automobiles and Parts|Chemicals|Industrial Goods and Services,"Banks|Food, Beverage and Tobacco|Retail",1.1887815068548702,1.1429564730959991,1.0400934198611622
2011-07-31,2011-08-31,-0.11051870614200422,-0.10266211706681211,-0.007856589075192114,-0.1524600988088293,-0.09611551221160637,Automobiles and Parts|Chemicals|Industrial Goods and Services,"Banks|Food, Beverage and Tobacco|Retail",1.0573989128317278,1.025618141852747,1.0309869430756848
2011-08-31,2011-09-30,-0.06418947094257099,-0.051819258431678374,-0.012370212510892618,-0.10671892225937259,-0.024250838853421736,Automobiles and Parts|Chemicals|Industrial Goods and Services,"Banks|Food, Beverage and Tobacco|Telecommunications",0.9895250360418095,0.9724713703078618,1.0175364193277474
2011-09-30,2011-10-31,0.08877856361867727,0.07671193883555631,0.012066624783120955,0.11862544676981451,0.03818128154900803,Automobiles and Parts|Chemicals|Real Estate,"Banks|Food, Beverage and Tobacco|Utilities",1.0773736474063214,1.0470715345862482,1.0289398687856097
2011-10-31,2011-11-30,-0.012138562294066426,-0.013814538156929571,0.0016759758628631452,-0.02790396569321311,-0.04042969519544609,Real Estate|Automobiles and Parts|Chemicals,Banks|Utilities|Financial Services,1.0642958802732942,1.0326067249186717,1.0306885037545328
2011-11-30,2011-12-31,0.013419409951592891,0.01346403202800667,-4.462207641377919e-05,0.0033299011318686095,0.003220438017967498,Real Estate|Chemicals|Personal & Household Goods,Banks|Financial Services|Utilities,1.078578103000473,1.0465097749353116,1.0306431232972895
2011-12-31,2012-01-31,0.03454922363355002,0.04119097778266629,-0.006641754149116268,0.050611659760282625,0.10653954669561665,Real Estate|Personal & Household Goods|Chemicals,Banks|Financial Services|Basic Resources,1.1158421390872866,1.089616535824015,1.0240686538805495
2012-01-31,2012-02-29,0.04282862886614196,0.04176823971433548,0.001060389151806479,0.0433474248329964,0.03473252698958969,Real Estate|Personal & Household Goods|Technology,Banks|Basic Resources|Financial Services,1.1636321279354578,1.1351279004890165,1.0251110270782364
2012-02-29,2012-03-31,0.0069985167065134985,-0.0015259133969439697,0.008524430103457468,0.024944600929027783,-0.029854077059349202,Real Estate|Personal & Household Goods|Chemicals,Banks|Basic Resources|Financial Services,1.1717758268230498,1.1333957936184154,1.0338628689295772
2012-03-31,2012-04-30,-0.010058176746118024,-0.014104608871080355,0.004046432124962331,0.003618236141972618,-0.03078032362512219,Chemicals|Real Estate|Personal & Household Goods,Basic Resources|Banks|Financial Services,1.159989898450035,1.1174096892532999,1.038106175028059
2012-04-30,2012-05-31,-0.051397902562580894,-0.06305930903777707,0.011661406475196173,-0.033228604747845954,-0.11396762669959785,"Chemicals|Personal & Household Goods|Food, Beverage and Tobacco",Basic Resources|Banks|Financial Services,1.100368850675922,1.0469466063368695,1.0510267133163265
2012-05-31,2012-06-30,0.043679603572447705,0.05107364277912336,-0.007394039206675654,0.03025251087577264,0.07954610558694368,Chemicals|Travel and Leisure|Personal & Household Goods,Basic Resources|Banks|Utilities,1.148432525856916,1.1004179833177343,1.04363300424664
2012-06-30,2012-07-31,0.0501394387008077,0.041889632800297165,0.008249805900510533,0.060987524097152516,0.0037195943687706005,Chemicals|Travel and Leisure|Personal & Household Goods,Basic Resources|Banks|Utilities,1.2060142880891325,1.1465140885657576,1.0518966143693944
2012-07-31,2012-08-31,0.01844198425218638,0.021169957321851108,-0.002727973069664727,0.00987552739048553,0.028816965602600747,Chemicals|Travel and Leisure|Personal & Household Goods,Basic Resources|Banks|Financial Services,1.228255584597984,1.1707857428895958,1.049086557516961
2012-08-31,2012-09-30,0.006971851543280363,0.011858007537188197,-0.004886155993907834,0.007327353860204325,0.047497796620494866,Chemicals|Travel and Leisure|Personal & Household Goods,Basic Resources|Financial Services|Banks,1.236818800191006,1.184668929053213,1.0440206287671199
2012-09-30,2012-10-31,0.003286587043876316,0.007415154478052534,-0.004128567434176219,-0.0006312930044801955,0.03927548175781901,"Chemicals|Travel and Leisure|Food, Beverage and Tobacco",Basic Resources|Financial Services|Banks,1.2408837128353365,1.1934534321674917,1.0397420455540558
2012-10-31,2012-11-30,0.028420120398737366,0.023837492995918926,0.004582627402818441,0.04929958237363824,0.018037105738490263,"Chemicals|Travel and Leisure|Food, Beverage and Tobacco",Basic Resources|Financial Services|Banks,1.2761497773549488,1.2219023699977396,1.044395860658908
2012-11-30,2012-12-31,0.012981780382671927,0.016845675545331465,-0.0038638951626595378,0.015203914450119746,0.05281482823602596,"Chemicals|Travel and Leisure|Food, Beverage and Tobacco",Basic Resources|Financial Services|Construction and Materials,1.2927164734999665,1.242486140870793,1.0404272780008392
2012-12-31,2013-01-31,0.03158397039517941,0.02872766386313235,0.002856306532047062,0.0315925111115134,0.008412364337787486,"Chemicals|Travel and Leisure|Food, Beverage and Tobacco",Basic Resources|Construction and Materials|Financial Services,1.3335455923283503,1.2781798650803298,1.0433160690139185
2013-01-31,2013-02-28,0.016891134874857775,0.012335552440910369,0.0045555824339474065,0.014307941249969975,-0.015239467096249439,Chemicals|Travel and Leisure|Insurance,Basic Resources|Telecommunications|Financial Services,1.3560706907901405,1.2939469198349438,1.0480110659895703
2013-02-28,2013-03-31,0.01525959960050019,0.012989750413727769,0.0022698491867724213,0.019694753635149158,0.007147164801470221,Travel and Leisure|Chemicals|Insurance,Basic Resources|Telecommunications|Retail,1.3767637865615718,1.3107549673722114,1.0503593889265925
2013-03-31,2013-04-30,0.019088135739095128,0.01847565827764774,0.0006124774614473874,0.02400735060821836,0.016609390258562735,Travel and Leisure|Chemicals|Insurance,Basic Resources|Telecommunications|Utilities,1.4030436406001296,1.3349720282351096,1.0509910402055491
2013-04-30,2013-05-31,0.027206880196327093,0.021405045839399797,0.0058018343569272955,0.04609356122683337,0.007414665513984737,Travel and Leisure|Chemicals|Insurance,Basic Resources|Telecommunications|Energy,1.441216080840156,1.3635471656937985,1.0569609303590448
2013-05-31,2013-06-30,-0.04623202521290396,-0.05269872391284215,0.006466698699938191,-0.03404224868928752,-0.07742803757673937,Travel and Leisure|Insurance|Chemicals,Basic Resources|Energy|Retail,1.3745857426535113,1.2916899700667626,1.06417621450019
2013-06-30,2013-07-31,0.04959645588379269,0.05199569848616321,-0.0023992426023705174,0.04220100361826857,0.06574816291481721,Travel and Leisure|Insurance|Chemicals,Basic Resources|Energy|Retail,1.4427603237975166,1.3588522922879551,1.0617491923042512
2013-07-31,2013-08-31,-0.012097577759630643,-0.004534467219412458,-0.007563110540218185,-0.025556867342463666,0.02760180537938335,Insurance|Travel and Leisure|Chemicals,Basic Resources|Energy|Retail,1.4253064185918662,1.352690621112552,1.0536824875887656
2013-08-31,2013-09-30,0.04551905779838043,0.04616576169412482,-0.0006467038957443869,0.030269376830014263,0.03639748349826872,Insurance|Travel and Leisure|Financial Services,Basic Resources|Energy|Retail,1.490185023840152,1.4151386139727118,1.05303113711014
2013-09-30,2013-10-31,0.041065487740227835,0.039521457642029356,0.001544030098198479,0.043542541657895416,0.03165419409483942,Insurance|Financial Services|Travel and Leisure,"Basic Resources|Energy|Food, Beverage and Tobacco",1.551380198667331,1.4710669547624344,1.0545952335105417
2013-10-31,2013-11-30,0.013908193670467382,0.009257749473216774,0.004650444197250608,0.02211070726245068,-0.009572329809775591,Insurance|Financial Services|Automobiles and Parts,"Food, Beverage and Tobacco|Basic Resources|Energy",1.5729570949269245,1.4846857240879527,1.0594545831530757
2013-11-30,2013-12-31,0.01331012080613908,0.010790104727327107,0.0025200160788119742,0.023404422828274447,0.0066043156361945896,Insurance|Automobiles and Parts|Financial Services,"Food, Beverage and Tobacco|Energy|Banks",1.5938933438832754,1.5007056385380293,1.0620959253781632
2013-12-31,2014-01-31,-0.012994948309666342,-0.016394160222233986,0.003399211912567644,-0.021143755855402038,-0.043805168605852984,Automobiles and Parts|Insurance|Media,"Food, Beverage and Tobacco|Personal & Household Goods|Energy",1.573180782268391,1.476102829853427,1.0657663886631825
2014-01-31,2014-02-28,0.05053183235058645,0.049852691159734064,0.0006791411908523837,0.04847730914287512,0.043949701203859194,Automobiles and Parts|Insurance|Media,"Food, Beverage and Tobacco|Personal & Household Goods|Banks",1.6526764898151418,1.5496905283501194,1.0664558242958784
2014-02-28,2014-03-31,-0.006950808434052977,-0.005247424831711103,-0.0017033836023418736,-0.014698680154419136,-0.0033427894721399913,Insurance|Automobiles and Parts|Media,"Food, Beverage and Tobacco|Personal & Household Goods|Banks",1.6411890521309738,1.5415586437901874,1.064629658263164
2014-03-31,2014-04-30,0.01579815685880728,0.015959550284105704,-0.0001613934252984242,0.021590652988782207,0.02266660915743839,Automobiles and Parts|Insurance|Construction and Materials,"Food, Beverage and Tobacco|Personal & Household Goods|Banks",1.667116814211496,1.5661612264816547,1.064460533195957
2014-04-30,2014-05-31,0.026505142564661962,0.02860635383177625,-0.0021012112671142877,0.01880334391823184,0.032238276575007524,Automobiles and Parts|Insurance|Construction and Materials,"Food, Beverage and Tobacco|Personal & Household Goods|Retail",1.7113039830441166,1.6109633886839976,1.0622860799102876
2014-05-31,2014-06-30,-0.0073701451567952676,-0.0045194135038735496,-0.002850731652921718,-0.020251887108460858,-0.0006154698394918056,Automobiles and Parts|Travel and Leisure|Insurance,"Retail|Food, Beverage and Tobacco|Personal & Household Goods",1.6986914242816795,1.6036827789909334,1.0592440391175912
2014-06-30,2014-07-31,-0.022009502531891288,-0.016026498270352123,-0.005983004261539165,-0.05230328720027564,-0.008458400230991403,Automobiles and Parts|Travel and Leisure|Construction and Materials,Retail|Technology|Health Care,1.66130407107805,1.5779813597072418,1.052803355919405
2014-07-31,2014-08-31,0.01748764152915869,0.01890179741292024,-0.0014141558837615503,0.007554458869123113,0.016995547086235994,Automobiles and Parts|Travel and Leisure|Construction and Materials,Retail|Personal & Household Goods|Technology,1.690356361143995,1.6078080436897926,1.0513421473279612
2014-08-31,2014-09-30,0.0056486167579755655,0.0033939244466455647,0.002254692311330001,0.006173815012904176,-0.01321147224485301,Automobiles and Parts|Travel and Leisure|Utilities,Retail|Personal & Household Goods|Technology,1.6999045364125034,1.613264822714785,1.0537045824577778
