Date,sector_code,leverage,leverage_coverage_n,margin,margin_coverage_n,valuation,valuation_coverage_n,momentum,momentum_coverage_n,growth,growth_coverage_n,lowvol,lowvol_coverage_n,quality_style,quality_style_coverage_n,value_style,value_style_coverage_n,growth_style,growth_style_coverage_n,momentum_style,momentum_style_coverage_n,lowvol_style,lowvol_style_coverage_n,financial_quality_proxy,financial_quality_proxy_coverage_n,financial_value_proxy,financial_value_proxy_coverage_n,finaware_leverage,finaware_leverage_coverage_n,finaware_margin,finaware_margin_coverage_n,finaware_quality,finaware_quality_coverage_n,finaware_valuation,finaware_valuation_coverage_n,fs_sector_pillar_score,fs_sector_pillar_score_coverage_n,fs_sector_factor_score,fs_sector_factor_score_coverage_n,fs_sector_reco_score,fs_sector_reco_score_coverage_n,eu_momentum_revision_score,eu_momentum_revision_score_coverage_n,improvement_quality_signal,improvement_quality_signal_coverage_n,improvement_deleveraging_signal,improvement_deleveraging_signal_coverage_n,improvement_value_signal,improvement_value_signal_coverage_n,improvement_core_signal,improvement_core_signal_coverage_n,sector_weight,constituents,sector_name,score_excel_like_plain,score_excel_like_financial_aware,score_final_screen_only,score_final_fs_sector,score_final_fs_sector_reco_blend,score_final_raw,score_final_raw_rank,score_final_smoothed_6m,score_final_us_improved,score_final,rank,recommendation
2026-06-30,3,5.30097232808458,24.0,5.241478320351915,24,4.184679755076994,24.0,9.944281129503755,24,6.939466941969932,24,5.218466202524737,24,4.76132038057428,24,5.206863054847975,24,5.168297065450943,24,7.502354581799749,24,4.781533725163618,24,4.861548182935948,24,5.045908512737192,24,5.30097232808458,24,5.241478320351915,24,4.76132038057428,24,4.184679755076994,24,6.386296763345943,24.0,6.386296763345943,24.0,,,7.508716168403758,24,5.288915646685129,23.0,5.352022204395397,23.0,7.030605103998782,23.0,5.890514318359769,23.0,0.02540877942976118,24,Basic Resources,6.138224112918652,6.138224112918652,4.473000067825637,5.42964841558579,,7.508716168403758,10.0,9.912280701754385,9.736842105263158,9.912280701754385,1.0,Positive
2026-06-30,2,,,5.080307062257233,54,6.1,1.0,10.0,54,6.0149238354556624,54,5.992479375391553,54,4.330238798147672,54,6.145480340474186,54,6.47527454350405,54,7.161685511853376,54,4.007520519972534,54,4.354452607198429,54,5.257368315814137,54,4.354452607198429,54,4.354452607198429,54,4.354452607198429,54,5.257368315814137,54,4.746216897856242,54.0,4.746216897856242,54.0,,,6.893839945115678,54,5.052129382075893,52.0,,,6.339483337160968,52.0,5.69580635961843,52.0,0.14815370050737023,54,Banks,6.637542054620889,5.995612790176367,4.805910461506283,4.776063679681263,,6.893839945115678,8.421052631578947,9.12280701754386,8.421052631578947,9.12280701754386,2.0,Positive
2026-06-30,16,5.629370111403754,33.0,6.999418149286917,33,7.221036619236889,33.0,9.99601335028487,33,6.850870776817211,33,4.568980531713691,33,5.8265348288172545,33,2.9607765672468704,33,7.134483789419741,33,6.443453515012801,33,5.431019665453998,33,6.409909313023624,33,4.321528301227427,33,5.629370111403754,33,6.999418149286917,33,5.8265348288172545,33,7.221036619236889,33,6.167456233030003,33.0,6.167456233030003,33.0,,,7.282666590347073,33,7.3382158652541944,32.0,2.267267626075877,32.0,7.430900838282924,32.0,5.678794776537666,32.0,0.09617511565562674,33,Technology,6.877614923123889,6.877614923123889,6.523785724027071,6.345620978528537,,7.282666590347073,9.473684210526315,9.035087719298247,9.078947368421051,9.035087719298247,3.0,Positive
2026-06-30,15,5.562092652251451,20.0,4.22848769835064,20,4.60926447598216,20.0,10.0,20,5.458999730752032,20,3.682147050720211,20,5.901237514157259,20,5.064459646139808,20,6.039082919370467,20,6.883115195726068,20,6.317853027484494,20,5.54182865515572,20,5.28437034043699,20,5.562092652251451,20,4.22848769835064,20,5.901237514157259,20,4.60926447598216,20,,,,,,,5.299708144184412,20,6.169605742023581,20.0,4.416823698297337,19.0,4.769134975901708,20.0,5.132373262782661,20.0,0.01782433738057694,20,Retail,5.590165268009415,5.590165268009415,5.2552509950697095,5.2552509950697095,,5.299708144184412,5.263157894736842,7.543859649122807,5.13157894736842,7.543859649122807,4.0,Neutral
2026-06-30,19,4.016033964835703,29.0,4.666460675066507,29,5.483393071630201,29.0,10.0,29,5.32680771468584,29,4.295811617887704,29,5.2559419480510705,29,4.367518458054298,29,5.244604551763881,29,5.883948973226893,29,5.7041883526284,29,5.123355622248334,29,4.814610292150374,29,4.016033964835703,29,4.666460675066507,29,5.2559419480510705,29,5.483393071630201,29,5.0046237915090375,29.0,5.0046237915090375,29.0,,,5.759205498354706,29,4.589413403225481,29.0,2.960940342702476,27.0,5.118639960139955,29.0,4.258138120804928,29.0,0.04694191378548918,29,Utilities,5.631417840684326,5.631417840684326,5.369667509840635,5.187145650674836,,5.759205498354706,5.7894736842105265,7.543859649122807,4.605263157894737,7.543859649122807,5.0,Neutral
2026-06-30,9,4.484751058715312,107.0,5.521719757909814,108,6.522190165877598,108.0,9.972569521093828,108,6.211075478117487,108,4.967397184495368,108,5.507824828720559,108,3.583764825175378,108,6.4349163903086755,108,6.508382242046155,108,5.032602935447692,108,5.803527503721857,108,4.606113728256343,108,4.484751058715312,107,5.521719757909814,108,5.507824828720559,108,6.522190165877598,108,4.190416141235813,108.0,4.190416141235813,108.0,,,5.882544414169429,108,4.726800830233057,106.0,4.056717276540912,104.0,5.34255183045011,105.0,4.709202458935002,106.0,0.15329587887291762,108,Industrial Goods and Services,6.279950527701568,6.279950527701568,6.015007497299079,5.102711819267446,,5.882544414169429,6.842105263157895,6.929824561403509,5.657894736842105,6.929824561403509,6.0,Neutral
2026-06-30,6,2.2524872382446826,13.0,5.99833558582363,42,7.764838624944594,26.0,9.460962304466404,42,5.761122143354403,38,5.187050129639104,42,5.714545961016448,42,4.194955908477106,42,5.098026591764352,42,5.735431749519443,42,4.81294971716569,42,5.790301970373209,42,4.76324456939147,42,5.790301970373209,42,5.790301970373209,42,5.790301970373209,42,4.76324456939147,42,4.746216897856242,42.0,4.746216897856242,42.0,,,5.893346411102085,42,6.5214358059492765,40.0,3.8669483627946626,13.0,6.812689242798564,40.0,6.629043873832224,40.0,0.04069762232732593,42,Financial Services,6.07079933774547,6.1254971812663,5.276773269882339,5.01149508386929,,5.893346411102085,7.368421052631579,6.491228070175438,7.894736842105263,6.491228070175438,7.0,Neutral
2026-06-30,12,3.911354029723674,18.0,5.004516964587294,18,5.014983967700475,18.0,9.967059382829454,18,5.88034733786566,18,4.4891595465469,18,5.1242593552660045,18,4.783110197276948,18,5.134628339974458,18,5.921196896912478,18,5.510840441808935,18,4.95470291443655,18,4.877173417864804,18,3.911354029723674,18,5.004516964587294,18,5.1242593552660045,18,5.014983967700475,18,5.252627154266499,18.0,5.252627154266499,18.0,,,7.150917291995227,18,7.964160321137085,18.0,4.499812423921107,18.0,9.328090272399425,18.0,7.264021005819206,18.0,0.05786897001227791,18,Energy,5.711236871542243,5.711236871542243,5.0696216614832394,5.161124407874869,,7.150917291995227,8.947368421052632,6.31578947368421,9.210526315789474,6.31578947368421,8.0,Neutral
2026-06-30,17,5.379775314359781,21.0,4.113058673023068,21,4.660216876644718,21.0,9.916041596289146,21,5.925368087317529,21,5.600328578298536,21,4.526936415895256,21,5.191556705863032,21,5.403111388510659,21,5.724417243819168,21,4.399671535291726,21,4.446645506940198,21,5.1007640619567445,21,5.379775314359781,21,4.113058673023068,21,4.526936415895256,21,4.660216876644718,21,4.783942833123161,21.0,4.783942833123161,21.0,,,5.8215143649921375,21,5.3853452607035335,20.0,6.365821267784373,19.0,5.137931180781958,20.0,5.609434223574747,20.0,0.027713039214322638,21,Telecommunications,5.93246485432213,5.93246485432213,4.593576646269987,4.688759739696574,,5.8215143649921375,6.315789473684211,5.350877192982456,6.578947368421052,5.350877192982456,9.0,Neutral
2026-06-30,18,6.084805769529204,12.0,5.642716900321945,12,5.854912356597137,12.0,9.983715074905218,12,5.3421469624871705,12,3.9581447015182696,12,5.982814954411845,12,4.19189761406853,12,6.419164613377023,12,5.679914207711949,12,6.041855226744543,12,6.400468599072988,12,4.879921627072732,12,6.084805769529204,12,5.642716900321945,12,5.982814954411845,12,5.854912356597137,12,4.849096258932325,12.0,4.849096258932325,12.0,,,4.7994351100593455,12,5.1937019308437575,12.0,4.725150285223135,12.0,3.176968955182761,11.0,4.462959980152495,12.0,0.011531339422740027,12,Travel and Leisure,6.144406960893158,6.144406960893158,5.918863655504492,5.383979957218408,,4.7994351100593455,3.6842105263157894,5.175438596491229,3.1578947368421053,5.175438596491229,10.0,Neutral
