Date,next_date,model_return,benchmark_return,active_return,top_equal_return,bottom_equal_return,top_sectors,bottom_sectors,model_nav,benchmark_nav,active_nav,market,candidate
2010-01-31,2010-02-28,-0.000967717572870598,-0.0028685434997547995,0.0019008259268842014,0.006859589210375262,-0.007892174817136218,Basic Resources|Banks|Personal & Household Goods,Utilities|Media|Insurance,0.9990322824271294,0.9971314565002452,1.0019062942147625,EU,baseline_raw
2010-02-28,2010-03-31,0.08288182233947766,0.07787172602782064,0.005010096311657025,0.10152062999088661,0.07061226582700265,Basic Resources|Personal & Household Goods|Banks,Energy|Utilities|Media,1.0818338985706575,1.074779804094554,1.0065632927314319,EU,baseline_raw
2010-03-31,2010-04-30,-0.010169621493845425,-0.00927180308450736,-0.0008978184093380651,-0.01308138776954565,-0.00437474727509152,Basic Resources|Personal & Household Goods|Industrial Goods and Services,Energy|Utilities|Financial Services,1.0708320573029828,1.0648146573917838,1.0056511242303317,EU,baseline_raw
2010-04-30,2010-05-31,-0.04424011636723489,-0.04800403688167921,0.0037639205144443175,-0.03342194132043943,-0.05842550788724652,Basic Resources|Personal & Household Goods|Industrial Goods and Services,Utilities|Insurance|Energy,1.0234583224781333,1.013699255306196,1.009627181948545,EU,baseline_raw
2010-05-31,2010-06-30,0.0020159670321330857,-0.005796391526949931,0.007812358559083017,0.00483313829983939,-0.04746566506561308,Automobiles and Parts|Basic Resources|Personal & Household Goods,Utilities|Energy|Insurance,1.0255215807150115,1.0078234575318639,1.0175607374990954,EU,baseline_raw
2010-06-30,2010-07-31,0.047117650029235715,0.05091222705221158,-0.0037945770229758646,0.03248198579067661,0.05506838274420981,Automobiles and Parts|Industrial Goods and Services|Personal & Household Goods,Utilities|Energy|Construction and Materials,1.07384174765257,1.059133994230271,1.0138865842305322,EU,baseline_raw
2010-07-31,2010-08-31,-0.017607603060826267,-0.015492522376541303,-0.002115080684284964,-0.026803295709819264,-0.01563634786324102,Automobiles and Parts|Industrial Goods and Services|Personal & Household Goods,Utilities|Construction and Materials|Retail,1.0549339684097594,1.042725337124903,1.011708386523453,EU,baseline_raw
2010-08-31,2010-09-30,0.04743638255933812,0.03814644706160977,0.009289935497728344,0.10984145854237452,0.050883393043647925,Automobiles and Parts|Industrial Goods and Services|Personal & Household Goods,Construction and Materials|Utilities|Basic Resources,1.1049762197100854,1.0825016039973372,1.020761738947782,EU,baseline_raw
2010-09-30,2010-10-31,0.02274877379866963,0.02466653638498862,-0.0019177625863189898,0.028308136409735965,0.040765769858253226,Automobiles and Parts|Industrial Goods and Services|Personal & Household Goods,Construction and Materials|Basic Resources|Utilities,1.1301130737851792,1.1092031691991462,1.0188512845677589,EU,baseline_raw
2010-10-31,2010-11-30,-0.0049392146437714024,-0.01368147617719448,0.008742261533423078,0.047081685942310596,-0.009287002331290574,Automobiles and Parts|Industrial Goods and Services|Travel and Leisure,"Construction and Materials|Food, Beverage and Tobacco|Telecommunications",1.124531202742022,1.0940276324640794,1.027881901126427,EU,baseline_raw
2010-11-30,2010-12-31,0.051456560089736245,0.05395221310493949,-0.002495653015203249,0.039354336324230445,0.061980153301187335,Automobiles and Parts|Travel and Leisure|Industrial Goods and Services,"Construction and Materials|Food, Beverage and Tobacco|Utilities",1.1823957101487004,1.1530528444334738,1.0254479799923164,EU,baseline_raw
