market,candidate,period,evidence_type,months,active_annualized_return,relative_annualized_return,active_sharpe,active_newey_west_t,active_hit_rate,active_max_drawdown,mean_one_way_turnover,net_active_ann_at_10bps,full_sample_mean_ic,full_sample_top_bottom_ann
EU,baseline_raw,discovery_2010_2017,canonical_exact_sector_tilt,96,0.00980141532148493,0.009880408609990843,0.6434216874234601,2.297564660384716,0.5833333333333334,-0.01879697684166337,0.09396948358364177,0.008673781518481229,0.04721702733992341,0.10912002629609519
EU,baseline_raw,validation_2018_2021,canonical_exact_sector_tilt,48,0.011520239050567094,0.01207082504394541,0.7218646934394715,1.7889913121385774,0.5416666666666666,-0.013119725122588077,0.09396948358364177,0.010392605247563393,0.04721702733992341,0.10912002629609519
EU,baseline_raw,holdout_2022_latest,canonical_exact_sector_tilt,53,0.01697711487642728,0.01679384562957753,0.8553597438514119,2.29573252705212,0.6226415094339622,-0.02729106351223609,0.09396948358364177,0.01584948107342358,0.04721702733992341,0.10912002629609519
EU,baseline_raw,recent_2024_latest,canonical_exact_sector_tilt,29,0.00913321315773552,0.00923999870626413,0.41871501549197854,0.8857030104126504,0.4827586206896552,-0.02729106351223609,0.09396948358364177,0.008005579354731819,0.04721702733992341,0.10912002629609519
EU,baseline_raw,full_period,canonical_exact_sector_tilt,197,0.012146268561911366,0.012269981482329939,0.7276768839653651,3.663246833901174,0.583756345177665,-0.027291063512236202,0.09396948358364177,0.011018634758907665,0.04721702733992341,0.10912002629609519
EU,smooth_2m,discovery_2010_2017,canonical_exact_sector_tilt,96,0.008310817732555487,0.008260882424531157,0.5466550504366857,1.781372403756654,0.5416666666666666,-0.02297890198639485,0.08639423384400435,0.007274086926427434,0.04708799100724791,0.10599321887825441
EU,smooth_2m,validation_2018_2021,canonical_exact_sector_tilt,48,0.0063234998721346525,0.00726643428163154,0.3681219700060352,0.7586076428768022,0.5416666666666666,-0.025768642680862208,0.08639423384400435,0.0052867690660066,0.04708799100724791,0.10599321887825441
EU,smooth_2m,holdout_2022_latest,canonical_exact_sector_tilt,53,0.023912402076315065,0.023541355786493634,1.1139760275328887,2.8638177211231612,0.6415094339622641,-0.026833936395738167,0.08639423384400435,0.022875671270187012,0.04708799100724791,0.10599321887825441
EU,smooth_2m,recent_2024_latest,canonical_exact_sector_tilt,29,0.018803616184017713,0.01873514189920744,0.7894182408418282,1.6012775316979635,0.5517241379310345,-0.026833936395738167,0.08639423384400435,0.01776688537788966,0.04708799100724791,0.10599321887825441
EU,smooth_2m,full_period,canonical_exact_sector_tilt,197,0.011998084560537192,0.012105923690508558,0.6818540645379705,3.0348968640586795,0.5685279187817259,-0.04232326003322229,0.08639423384400435,0.01096135375440914,0.04708799100724791,0.10599321887825441
EU,smooth_3m,discovery_2010_2017,canonical_exact_sector_tilt,96,0.008293229204952457,0.008163409570387525,0.5144505165450122,1.8804838214364803,0.5416666666666666,-0.020881331568649242,0.08084464903463807,0.0073230934165368,0.054008230503667765,0.09843822820405523
EU,smooth_3m,validation_2018_2021,canonical_exact_sector_tilt,48,0.008597353384785844,0.009239432535109726,0.5624738248277996,1.154261544139511,0.5625,-0.01948073781223192,0.08084464903463807,0.007627217596370187,0.054008230503667765,0.09843822820405523
EU,smooth_3m,holdout_2022_latest,canonical_exact_sector_tilt,53,0.021471660783346058,0.02103037055594159,0.973883695225047,2.8223314721641577,0.6226415094339622,-0.02620194554410815,0.08084464903463807,0.020501524994930402,0.054008230503667765,0.09843822820405523
EU,smooth_3m,recent_2024_latest,canonical_exact_sector_tilt,29,0.020280514811059858,0.02009931023276823,0.8769947317930334,1.8649118023030384,0.5862068965517241,-0.02620194554410815,0.08084464903463807,0.0193103790226442,0.054008230503667765,0.09843822820405523
EU,smooth_3m,full_period,canonical_exact_sector_tilt,197,0.011896238109262214,0.01187201809187477,0.6721049586310628,3.333823274147126,0.5685279187817259,-0.02620194554410815,0.08084464903463807,0.010926102320846558,0.054008230503667765,0.09843822820405523
EU,smooth_6m,discovery_2010_2017,canonical_exact_sector_tilt,96,0.009286967273473667,0.009166237618437822,0.5348778697396291,1.8537229452216062,0.5625,-0.022464403381987186,0.06809835471693612,0.008469787016870433,0.06228865415267362,0.09376403493298713
EU,smooth_6m,validation_2018_2021,canonical_exact_sector_tilt,48,0.012755994489143108,0.013811650440855638,0.6997419320229217,1.3175299822037865,0.5416666666666666,-0.018015252291808337,0.06809835471693612,0.011938814232539873,0.06228865415267362,0.09376403493298713
EU,smooth_6m,holdout_2022_latest,canonical_exact_sector_tilt,53,0.019387931568164207,0.019434374020235845,1.0655527074601943,2.8280534667507427,0.660377358490566,-0.024445180014827983,0.06809835471693612,0.018570751311560975,0.06228865415267362,0.09376403493298713
EU,smooth_6m,recent_2024_latest,canonical_exact_sector_tilt,29,0.020065727198545602,0.02008611495842505,1.018231446902147,2.110710690976392,0.6896551724137931,-0.02444518001482776,0.06809835471693612,0.01924854694194237,0.06228865415267362,0.09376403493298713
EU,smooth_6m,full_period,canonical_exact_sector_tilt,197,0.012841015948109602,0.013051511815659333,0.7228191467994121,3.3008915882522762,0.583756345177665,-0.02444518001482776,0.06809835471693612,0.012023835691506368,0.06228865415267362,0.09376403493298713
EU,ema_3m,discovery_2010_2017,canonical_exact_sector_tilt,96,0.008151912844188258,0.007994295100893556,0.5114382636220881,1.7488459493556854,0.5520833333333334,-0.02434504426673023,0.0813578577250634,0.007175618551487497,0.0496773788305539,0.09874106506751512
EU,ema_3m,validation_2018_2021,canonical_exact_sector_tilt,48,0.007767460943907123,0.008696503209603579,0.4464020980694994,0.978458408735722,0.5416666666666666,-0.02447064720245895,0.0813578577250634,0.006791166651206362,0.0496773788305539,0.09874106506751512
EU,ema_3m,holdout_2022_latest,canonical_exact_sector_tilt,53,0.020910091464958702,0.020640906558648142,0.957285370905227,2.579823167454387,0.660377358490566,-0.02450126482214443,0.0813578577250634,0.01993379717225794,0.0496773788305539,0.09874106506751512
EU,ema_3m,recent_2024_latest,canonical_exact_sector_tilt,29,0.02084442336277159,0.020564738188081133,0.9195274371410128,1.9035821482017847,0.6206896551724138,-0.02450126482214443,0.0813578577250634,0.01986812907007083,0.0496773788305539,0.09874106506751512
EU,ema_3m,full_period,canonical_exact_sector_tilt,197,0.01147455108285178,0.011552819516695623,0.6366050594069244,3.042142740228353,0.5786802030456852,-0.03751588452673171,0.0813578577250634,0.01049825679015102,0.0496773788305539,0.09874106506751512
EU,ema_6m,discovery_2010_2017,canonical_exact_sector_tilt,96,0.009842600924352407,0.00970442577006958,0.5712440888574599,1.972922670520899,0.5729166666666666,-0.022481016016694833,0.07063113251981407,0.008995027334114638,0.05633627215246237,0.09115604654897314
EU,ema_6m,validation_2018_2021,canonical_exact_sector_tilt,48,0.009590760406276821,0.010752637066641979,0.5233870016129688,1.087423830999365,0.5625,-0.02172278781826298,0.07063113251981407,0.008743186816039052,0.05633627215246237,0.09115604654897314
EU,ema_6m,holdout_2022_latest,canonical_exact_sector_tilt,53,0.016997808376876034,0.017145673539919803,0.8326006383938727,2.211770190880751,0.6792452830188679,-0.02255399110721812,0.07063113251981407,0.016150234786638264,0.05633627215246237,0.09115604654897314
EU,ema_6m,recent_2024_latest,canonical_exact_sector_tilt,29,0.02143528662688876,0.02146266086920856,1.0131440754806493,2.005291165625761,0.6896551724137931,-0.02255399110721812,0.07063113251981407,0.020587713036650992,0.05633627215246237,0.09115604654897314
EU,ema_6m,full_period,canonical_exact_sector_tilt,197,0.011701156614239538,0.011956822717506421,0.6384812556887136,3.062337907968334,0.5989847715736041,-0.022553991107218008,0.07063113251981407,0.01085358302400177,0.05633627215246237,0.09115604654897314
