Date,Exchange Country Region, Benchmark ICB Supersector ,rows,median_abs_neutral_diff,p90_abs_neutral_diff,max_abs_neutral_diff,neutral_corr
2026-04-30,North America,2.0,15,1.9999999999999998,5.333333333333335,9.333333333333334,0.2892857142857144
2026-04-30,North America,16.0,94,1.5957446808510638,4.468085106382979,8.829787234042554,0.5867499909691871
2026-04-30,West Europe,9.0,67,1.3432835820895526,3.6417910447761193,8.805970149253731,0.619762151807806
2026-04-30,North America,14.0,31,0.9677419354838719,5.161290322580645,8.387096774193548,0.5298387096774194
2026-04-30,North America,11.0,12,1.6666666666666665,3.333333333333334,8.333333333333334,0.4195804195804196
2026-04-30,North America,18.0,20,2.0,6.5,8.0,0.2796992481203007
2026-04-30,North America,13.0,14,2.8571428571428577,7.214285714285717,7.857142857142858,0.028571428571428588
2026-04-30,Asia,13.0,8,4.375,5.75,7.5,-0.3095238095238095
2026-04-30,North America,9.0,99,2.3232323232323226,5.171717171717173,7.474747474747474,0.42133580705009266
2026-04-30,West Europe,16.0,18,2.7777777777777786,5.666666666666668,7.222222222222223,0.20949432404540758
2026-04-30,North America,7.0,18,1.6666666666666667,3.500000000000001,7.222222222222222,0.6243550051599587
2026-04-30,Asia,9.0,39,1.5384615384615392,4.205128205128206,6.923076923076923,0.6234817813765183
2026-04-30,North America,15.0,29,1.0344827586206895,2.4137931034482754,6.551724137931034,0.8123152709359608
2026-04-30,North America,6.0,37,1.621621621621622,4.648648648648647,6.486486486486486,0.53366524419156
2026-04-30,Asia,15.0,11,4.545454545454545,6.363636363636364,6.363636363636364,-0.19090909090909108
2026-04-30,West Europe,6.0,22,1.022727272727273,2.7272727272727275,6.363636363636363,0.7365151380960707
2026-04-30,West Europe,14.0,11,1.8181818181818166,4.545454545454545,6.363636363636363,0.4454545454545455
2026-04-30,West Europe,10.0,24,1.25,4.041666666666666,6.25,0.6478260869565218
2026-04-30,Asia,17.0,5,4.0,5.2,6.0,0.09999999999999999
2026-04-30,West Europe,18.0,10,3.5,5.1,6.0,0.12727272727272726
2026-04-30,North America,19.0,32,1.5625,4.625000000000002,5.9375,0.5370234604105572
2026-04-30,Asia,8.0,12,0.833333333333333,3.25,5.833333333333333,0.7062937062937061
