scope,Date,rows,groups,median_abs_neutral_diff,p75_abs_neutral_diff,p90_abs_neutral_diff,p95_abs_neutral_diff,max_abs_neutral_diff,abs_neutral_diff_ge_2,abs_neutral_diff_ge_3,abs_neutral_diff_ge_4,abs_neutral_diff_ge_5,abs_neutral_decile_diff_ge_5,neutral_pearson_corr,neutral_spearman_corr,raw_median_abs_diff,raw_p90_abs_diff
all_groups,2026-04-30,1168,70,1.4285714285714282,2.8571428571428577,4.331374853113982,5.201649175412288,9.333333333333334,453,279,152,88,109,0.6077215533138237,0.6072361433203979,1.4787951683145013,4.572713892646336
all_groups,2026-05-31,1144,70,1.4285714285714284,2.7472527472527473,4.102564102564103,5.0,9.333333333333334,452,257,130,70,96,0.629335531955289,0.6285125781106065,1.4789496527777777,4.265027573529412
all_groups,2026-06-30,1144,70,1.25,2.4,3.75,4.674374999999992,8.666666666666666,369,189,93,49,61,0.7065531950704278,0.7062785693233985,1.248697916666666,3.9662971565315317
group_n>=5,2026-04-30,1123,55,1.4285714285714288,2.8571428571428577,4.343125734430083,5.249011857707505,9.333333333333334,436,269,148,84,105,0.6019527988775857,0.6013417988681753,1.4819155092592595,4.575012553287425
group_n>=5,2026-05-31,1100,55,1.4285714285714288,2.732267732267733,4.092074592074594,5.0,9.333333333333334,431,245,124,64,90,0.6313925400896618,0.6306639738490877,1.4638173297031076,4.231941105769231
group_n>=5,2026-06-30,1099,55,1.25,2.3038461538461537,3.75,4.608749999999992,8.666666666666666,350,180,90,46,58,0.7045030564645179,0.704264815741442,1.2464843749999996,3.894494047619048
