Date,region,rows_both,score_ml_mean,score_ml_if_mean,pearson_corr,spearman_corr,top_decile_overlap
2026-04-30,Asia,175,4.982932668017266,5.54296875,0.46822191283759534,0.4708384729817413,0.16666666666666666
2026-04-30,East Europe,16,5.385416666666666,7.5,0.5282453646429173,0.5909453810074925,0.75
2026-04-30,North America,617,5.042751158881897,5.15234375,0.5588646017187308,0.5570853443764598,0.453125
2026-04-30,Pacific,45,6.333333333333333,6.4453125,0.7977563151104978,0.8151151689724635,0.9166666666666666
2026-04-30,West Europe,598,5.15886287625418,5.15625,0.6490160800281622,0.6487980580542505,0.45
2026-05-31,Asia,167,5.222049777772191,5.5703125,0.40686381700118834,0.4154768109120079,0.23529411764705882
2026-05-31,East Europe,16,6.979166666666666,7.5,0.41081569287312164,0.4309878818405207,0.7142857142857143
2026-05-31,North America,620,5.075938317122451,5.15625,0.5893902484572865,0.5872041928628015,0.4838709677419355
2026-05-31,Pacific,46,6.249999999999999,6.4140625,0.5374361325649805,0.5351292815763085,0.4166666666666667
2026-05-31,West Europe,597,5.159128978224456,5.16015625,0.6679811701106945,0.6674856257398224,0.45
2026-06-30,Asia,168,5.236314562758255,5.56640625,0.35662244852018016,0.376587492479138,0.29411764705882354
2026-06-30,East Europe,18,5.592592592592592,7.22265625,0.34097115577726006,0.369078918553066,0.75
2026-06-30,North America,617,5.107587821986951,5.15234375,0.690863532455157,0.6885223434739571,0.45161290322580644
2026-06-30,Pacific,46,6.141304347826087,6.4140625,0.7433967651547956,0.7664311853187942,0.75
2026-06-30,West Europe,595,5.159663865546219,5.16015625,0.759255340245466,0.7593933907228764,0.45901639344262296
