Date,Name,ISIN,Company SEDOL,Exchange Country Region,Exchange Country Name,FactSet Ind, Benchmark ICB Supersector ,Score ML,Score ML_IF,score_diff,abs_score_diff,score_ml_decile,score_ml_if_decile,decile_diff,Weight in MSCI WORLD,Weight in SP500,Weight in STOXX EUROPE 600
2026-04-30,SEGRO plc,GB00B5ZN1N88,DF4GV5-R,West Europe,UNITED KINGDOM,Real Estate Investment Trusts,14.0,7.666666666666667,1.0,6.666666666666667,6.666666666666667,8,1,7,0.00013818169988309828,,0.0007501726940436288
2026-04-30,"Murata Manufacturing Co., Ltd.",JP3914400001,HLS2CN-R,Asia,JAPAN,Electronic Production Equipment,16.0,9.402173913043478,2.8,6.6013926630434785,6.6013926630434785,10,3,7,0.0006246940994715088,,
2026-04-30,Terna S.p.A.,IT0003242622,SKZ5H5-R,West Europe,ITALY,Electric Utilities,19.0,9.310344827586206,2.758,6.552532327586206,6.552532327586206,10,3,7,0.00018151669984643688,,0.0011671129907331228
2026-05-31,Fujikura Ltd,JP3811000003,M3XG7W-R,Asia,JAPAN,Electrical Products,9.0,0.14634146341463417,9.484,-9.338033536585366,9.338033536585366,1,10,-9,0.0004951752038826688,,
2026-05-31,HOYA CORPORATION,JP3837800006,X6GLT1-R,Asia,JAPAN,Medical Specialties,8.0,1.038961038961039,10.0,-8.96103896103896,8.96103896103896,1,10,-9,0.0006238960048919685,,
2026-05-31,"Toho Co., Ltd.",JP3598600009,VLHRTH-R,Asia,JAPAN,Movies/Entertainment,11.0,1.6666666666666665,10.0,-8.333333333333334,8.333333333333334,2,10,-8,4.4179340346410206e-05,,
2026-05-31,"Pinnacle Financial Partners, Inc.",US72348N1090,WW3NPV-R,North America,UNITED STATES,Regional Banks,2.0,2.0,10.0,-8.0,8.0,2,10,-8,0.00016196580126997382,,
2026-05-31,Accenture Plc Class A,IE00B4BNMY34,BWDZ2P-R,North America,UNITED STATES,Information Technology Services,9.0,1.7647058823529413,9.72,-7.954044117647059,7.954044117647059,2,10,-8,0.0012808290100429802,0.0017715889927187693,
2026-05-31,Bandai Namco Holdings Inc.,JP3778630008,V4T984-R,Asia,JAPAN,Recreational Products,13.0,0.8571428571428572,8.75,-7.892857142857142,7.892857142857142,1,9,-8,0.00012795010100325675,,
2026-05-31,ANA Holdings Inc.,JP3429800000,M61G3T-R,Asia,JAPAN,Airlines,18.0,2.380952380952381,10.0,-7.619047619047619,7.619047619047619,3,10,-7,1.0862540085173177e-05,,
2026-05-31,"Digital Realty Trust, Inc.",US2538681030,RBJXH6-R,North America,UNITED STATES,Real Estate Investment Trusts,14.0,8.68421052631579,1.143,7.541632401315789,7.541632401315789,9,1,8,0.0007276817057057522,0.0009479808961037985,
2026-05-31,"Macquarie Group, Ltd.",AU000000MQG1,CD5RFJ-R,Pacific,AUSTRALIA,Major Banks,6.0,2.5,10.0,-7.5,7.5,3,10,-7,0.0006939292054410988,,
2026-05-31,"Murata Manufacturing Co., Ltd.",JP3914400001,HLS2CN-R,Asia,JAPAN,Electronic Production Equipment,16.0,7.909604519774012,0.4167,7.492856472899012,7.492856472899012,8,1,7,0.001185534009295772,,
2026-05-31,"Rakuten Group, Inc.",JP3967200001,TTK7NN-R,Asia,JAPAN,Internet Retail,16.0,9.096045197740112,1.667,7.429053010240112,7.429053010240112,9,2,7,6.9894530548043e-05,,
2026-05-31,"Daiwa House Industry Co., Ltd.",JP3505000004,L2QXQQ-R,Asia,JAPAN,Homebuilding,13.0,2.571428571428571,10.0,-7.428571428571429,7.428571428571429,3,10,-7,0.0001491900011697988,,
2026-05-31,"IBIDEN CO., LTD.",JP3148800000,DVRN0C-R,Asia,JAPAN,Electronic Components,16.0,8.587570621468926,1.25,7.337570621468926,7.337570621468926,9,2,7,0.0003552658027856392,,
2026-05-31,Western Digital Corporation,US9581021055,W00MKH-R,North America,UNITED STATES,Computer Peripherals,16.0,2.358490566037736,9.695,-7.3368219339622645,7.3368219339622645,3,10,-7,0.002048095016059113,0.0027713599886097103,
2026-05-31,Starbucks Corporation,US8552441094,TWTDGH-R,North America,UNITED STATES,Restaurants,18.0,9.615384615384615,2.309,7.306790865384615,7.306790865384615,10,3,7,0.0012566400098533142,0.0017383829928552458,
2026-05-31,Ford Motor Company,US3453708600,XLV24X-R,North America,UNITED STATES,Motor Vehicles,1.0,2.8571428571428568,10.0,-7.142857142857143,7.142857142857143,3,10,-7,0.0007532902059065484,0.0010532889956709822,
2026-05-31,"Recruit Holdings Co., Ltd.",JP3970300004,Q9Y5D7-R,Asia,JAPAN,Internet Software/Services,9.0,0.34146341463414637,7.438,-7.096036585365853,7.096036585365853,1,8,-7,0.0010110480079276274,,
2026-05-31,General Motors Company,US37045V1008,T0SQZH-R,North America,UNITED STATES,Motor Vehicles,1.0,1.4285714285714284,8.336,-6.907366071428571,6.907366071428571,2,9,-7,0.0008372086065645526,0.001157225995243801,
2026-05-31,"Paychex, Inc.",US7043261079,FBB432-R,North America,UNITED STATES,Data Processing Services,9.0,2.436974789915966,9.336,-6.898962710084033,6.898962710084033,3,10,-7,0.00034297310268925206,0.0004852953980054359,
2026-05-31,Sanrio Co. Ltd.,JP3343200006,X1SDWS-R,Asia,JAPAN,Specialty Stores,15.0,1.7391304347826086,8.57,-6.831182065217392,6.831182065217392,2,9,-7,4.2560170333714295e-05,,
2026-05-31,Mitsubishi Chemical Group Corporation,JP3897700005,R6ZGVK-R,Asia,JAPAN,Chemicals: Major Diversified,4.0,1.794871794871795,8.57,-6.775440705128205,6.775440705128205,2,9,-7,9.590635075200169e-05,,
2026-05-31,Lottery Corporation Limited,AU0000219529,RYTKRH-R,Pacific,AUSTRALIA,Movies/Entertainment,18.0,3.333333333333333,10.0,-6.666666666666667,6.666666666666667,4,10,-6,8.772081068781887e-05,,
2026-05-31,ASX Limited,AU000000ASX7,CPFK9K-R,Pacific,AUSTRALIA,Investment Banks/Brokers,6.0,10.0,3.334,6.666015625,6.666015625,10,4,6,6.778917053153488e-05,,
2026-05-31,Sony Group Corporation,JP3435000009,G90B3N-R,Asia,JAPAN,Computer Processing Hardware,16.0,9.435028248587571,2.916,6.519012623587571,6.519012623587571,10,3,7,0.0014483430113564574,,
2026-05-31,"Chubu Electric Power Company,Incorporated",JP3526600006,LTNL3N-R,Asia,JAPAN,Electric Utilities,19.0,8.91304347826087,2.5,6.413043478260869,6.413043478260869,9,3,6,0.00013562530106343796,,
2026-05-31,Wolters Kluwer N.V.,NL0000395903,TWWNXR-R,West Europe,NETHERLANDS,Internet Software/Services,9.0,0.9259259259259258,7.316,-6.390480324074074,6.390480324074074,1,8,-7,0.00018281240143343204,,0.0011323659961499555
2026-05-31,HOCHTIEF Aktiengesellschaft,DE0006070006,K3B7V1-R,West Europe,GERMANY,Engineering & Construction,5.0,3.333333333333333,9.695,-6.361979166666667,6.361979166666667,4,10,-6,9.88229307748706e-05,,0.0006678214977294068
2026-05-31,"IDEXX Laboratories, Inc.",US45168D1046,NFMPMG-R,North America,UNITED STATES,Medical Specialties,8.0,9.117647058823529,2.795,6.322725183823529,6.322725183823529,9,3,6,0.0005013399039310062,0.0006926587971531723,
2026-05-31,Corning Inc,US2193501051,K24537-R,North America,UNITED STATES,Electronic Components,16.0,2.641509433962264,8.89,-6.2491155660377355,6.2491155660377355,3,9,-6,0.0016066520125977584,0.002175736991057721,
2026-05-31,Snap-on Incorporated,US8330341012,DXW84Y-R,North America,UNITED STATES,Tools & Hardware,9.0,2.3529411764705883,8.586,-6.232996323529411,6.232996323529411,3,9,-6,0.00021251960166636619,0.0002974370987775335,
2026-06-30,"Recruit Holdings Co., Ltd.",JP3970300004,Q9Y5D7-R,Asia,JAPAN,Internet Software/Services,9.0,0.6829268292682927,9.484,-8.801448170731707,8.801448170731707,1,10,-9,0.0010548796041982133,,
2026-06-30,Mitsubishi Chemical Group Corporation,JP3897700005,R6ZGVK-R,Asia,JAPAN,Chemicals: Major Diversified,4.0,1.25,10.0,-8.75,8.75,2,10,-8,9.663335865074886e-05,,
2026-06-30,HOYA CORPORATION,JP3837800006,X6GLT1-R,Asia,JAPAN,Medical Specialties,8.0,0.5194805194805195,9.09,-8.574269480519481,8.574269480519481,1,9,-8,0.0006029245846251648,,
2026-06-30,"Toho Co., Ltd.",JP3598600009,VLHRTH-R,Asia,JAPAN,Movies/Entertainment,11.0,1.6666666666666665,10.0,-8.333333333333334,8.333333333333334,2,10,-8,4.519530194145264e-05,,
2026-06-30,"Daiwa House Industry Co., Ltd.",JP3505000004,L2QXQQ-R,Asia,JAPAN,Homebuilding,13.0,1.7647058823529413,10.0,-8.235294117647058,8.235294117647058,2,10,-8,0.00015329714952419532,,
2026-06-30,Fujikura Ltd,JP3811000003,M3XG7W-R,Asia,JAPAN,Electrical Products,9.0,1.8536585365853657,10.0,-8.146341463414634,8.146341463414634,2,10,-8,0.0006084020187377265,,
2026-06-30,Accenture Plc Class A,IE00B4BNMY34,BWDZ2P-R,North America,UNITED STATES,Information Technology Services,9.0,1.6666666666666665,9.625,-7.958333333333334,7.958333333333334,2,10,-8,0.0008575021611022526,0.001185487005559934,
2026-06-30,"DAIKIN INDUSTRIES, LTD.",JP3481800005,RL95QP-R,Asia,JAPAN,Industrial Machinery,5.0,9.666666666666666,2.0,7.666666666666666,7.666666666666666,10,2,8,0.000457495658694906,,
2026-06-30,Welltower Inc.,US95040Q1040,B6ZP8C-R,North America,UNITED STATES,Real Estate Investment Trusts,14.0,8.157894736842104,0.5713,7.586605674342104,7.586605674342104,8,1,7,0.0017927840866187334,0.0024861310116599546,
2026-06-30,Seagate Technology Holdings PLC,IE00BKVD2N49,KXDMGL-R,North America,UNITED STATES,Computer Peripherals,16.0,2.5,9.9,-7.3984375,7.3984375,3,10,-7,0.002365106445872789,0.0033564250157416334,
2026-06-30,"Paychex, Inc.",US7043261079,FBB432-R,North America,UNITED STATES,Data Processing Services,9.0,2.5833333333333335,9.91,-7.322916666666666,7.322916666666666,3,10,-7,0.0003500227409578285,0.000492098702307943,
2026-06-30,Spotify Technology SA,LU1778762911,X5HN6G-R,North America,UNITED STATES,Internet Software/Services,11.0,8.88888888888889,1.667,7.221896701388889,7.221896701388889,9,2,7,0.0007590110552162482,,
2026-06-30,"Murata Manufacturing Co., Ltd.",JP3914400001,HLS2CN-R,Asia,JAPAN,Electronic Production Equipment,16.0,7.932960893854749,0.8335,7.099464800104749,7.099464800104749,8,1,7,0.0013254060446982131,,
2026-06-30,InterContinental Hotels Group PLC,GB00BHJYC057,LY217M-R,West Europe,UNITED KINGDOM,Hotels/Resorts/Cruiselines,18.0,2.307692307692308,9.234,-6.926682692307692,6.926682692307692,3,10,-7,0.00031820591932422044,,0.0016913549886679216
2026-06-30,"Delta Air Lines, Inc.",US2473617023,DGBZCC-R,North America,UNITED STATES,Airlines,18.0,8.846153846153847,1.923,6.923302283653847,6.923302283653847,9,2,7,0.0001733731406414508,0.0009486581044492065,
