market,version,candidate_id,component,bucket,weight
eu-small,old,eu_small_syn_loo_without_growth,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_growth,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_growth,PB LTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_growth,PB LTM directional_delta lag3,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_growth,Oper Margin directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_growth,Oper Margin directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_growth,ROE avg FY0 directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_growth,ROE avg FY0 directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_subset_6d32f9616c,Earns Yield FY1 score_delta lag1,earnings_yield_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_6d32f9616c,Earns Yield NTM directional_delta lag1,earnings_yield_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_6d32f9616c,Earns Yield NTM score_delta lag1,earnings_yield_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_6d32f9616c,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_6d32f9616c,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_6d32f9616c,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_6d32f9616c,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_6d32f9616c,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_6d32f9616c,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_6d32f9616c,ROE avg FY0 directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,momentum: EPS Revision Ratio,revision,0.3333333333333333
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_b3c0d0fc7d,ROE avg FY0 directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_af05547f2a,momentum: PMOM 12M1M,pmom,0.3333333333333333
eu-small,old,eu_small_syn_subset_af05547f2a,EV To EBITDA NTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_af05547f2a,PB LTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_af05547f2a,PB LTM directional_delta lag3,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_af05547f2a,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_af05547f2a,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_af05547f2a,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_af05547f2a,ROE avg FY0 directional_delta lag3,quality_improvement,0.08333333333333333
