Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2025-07-29,X32NYV-R,1.0199611186981201,1.0199611186981201,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-05-30,KXC4N6-R,1.01991868019104,1.01991868019104,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2020-04-28,J3VSJP-R,1.0196402072906494,1.0196402072906494,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-02-26,T7HRLL-R,1.019493818283081,1.019493818283081,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-11-22,XLCZT6-R,1.019404411315918,1.019404411315918,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-04-10,V05L58-R,1.0193424224853516,1.0193424224853516,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2012-06-04,F3Q31N-R,1.019230604171753,1.019230604171753,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2012-05-16,F3Q31N-R,1.019230604171753,1.019230604171753,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-04-23,MBLWWK-R,1.0188250541687012,1.0188250541687012,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-06-01,TWT42C-R,1.0182535648345947,1.0182535648345947,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-10-24,L0VNM1-R,1.0181078910827637,1.0181078910827637,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-10-24,H9DFB5-R,1.0180134773254395,1.0180134773254395,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2009-02-19,RJ5QX8-R,1.017844557762146,1.017844557762146,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-04-14,MBLWWK-R,1.0173628330230713,1.0173628330230713,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-05-06,BXMHNX-R,1.0157949924468994,1.0157949924468994,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-12-06,J3VSJP-R,1.015350341796875,1.015350341796875,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-03-29,NGVHQY-R,1.015108585357666,1.015108585357666,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2011-04-15,FCPZV9-R,1.0150530338287354,1.0150530338287354,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-02-18,KK55XL-R,1.0147452354431152,1.0147452354431152,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
