factor,months,mean_ic,median_ic,ic_hit_rate,top_minus_bottom_annualized,top_minus_bottom_monthly_mean,top_minus_bottom_hit_rate
score_final_smoothed_6m,197,0.06228865415267362,0.059675301927350564,0.5583756345177665,0.09376403493298713,0.008313030540740573,0.5888324873096447
score_final,197,0.06228865415267362,0.059675301927350564,0.5583756345177665,0.09376403493298713,0.008313030540740573,0.5888324873096447
fs_sector_reco_score,181,0.04850061558798376,0.06092112238765364,0.56353591160221,0.08444513573017676,0.007377799593656195,0.6022099447513812
eu_momentum_revision_score,197,0.04721702733992341,0.04736842105263158,0.5685279187817259,0.10912002629609519,0.009399225328322826,0.5888324873096447
score_final_raw,197,0.04721702733992341,0.04736842105263158,0.5685279187817259,0.10912002629609519,0.009399225328322826,0.5888324873096447
score_final_raw_rank,197,0.04721702733992341,0.04736842105263158,0.5685279187817259,0.10912002629609519,0.009399225328322826,0.5888324873096447
score_final_fs_sector_reco_blend,181,0.04534491900860373,0.05882352941176471,0.5524861878453039,0.05601279061538644,0.005219629276201709,0.5580110497237569
momentum,197,0.03859729364980708,0.03171836944752795,0.5431472081218274,0.08038141213427052,0.006924293694522353,0.5939086294416244
fs_sector_factor_score,197,0.029117242383574153,0.022893613256565762,0.5228426395939086,0.01942376911924648,0.0023159234310368136,0.5126903553299492
fs_sector_pillar_score,197,0.025363239500225242,0.016563226871713452,0.5329949238578681,0.05360050505704539,0.005055732017530736,0.5634517766497462
score_final_fs_sector,197,0.01962774957698816,0.042105263157894736,0.5482233502538071,0.011777604392369856,0.0017222313342244527,0.5431472081218274
finaware_valuation,197,0.013064386855463536,0.014035087719298246,0.5228426395939086,0.010803502216887306,0.0017302068153596448,0.47715736040609136
financial_value_proxy,197,0.012049158429067591,0.014035087719298246,0.5177664974619289,-0.004986680521778086,0.00029658034119557744,0.5126903553299492
valuation,197,0.010368635832639228,-0.010526315789473684,0.49238578680203043,-0.008702629116986271,1.387116280666695e-05,0.4720812182741117
growth_style,197,0.009021284174904266,-0.0035087719298245615,0.48223350253807107,0.03192322446338869,0.0031936833196758987,0.49238578680203043
finaware_leverage,197,0.008896606999732838,0.02456140350877193,0.5279187817258884,-0.01946174646206611,-0.0009681034021227625,0.5380710659898477
growth,197,0.007721079348116489,0.02631578947368421,0.5380710659898477,0.018682975644481514,0.0021445332475286036,0.5126903553299492
score_excel_like_financial_aware,197,0.007142221034820558,-0.010526315789473684,0.47715736040609136,0.04075472016464343,0.003937523899705296,0.49746192893401014
lowvol_style,197,0.006955205272063404,-0.007017543859649123,0.4720812182741117,-0.01336336433128582,-0.0003792181553035916,0.5025380710659898
momentum_style,197,0.005405646094932763,0.007017543859649123,0.5126903553299492,0.022428157003516747,0.0023806557766062547,0.4873096446700508
leverage,197,0.0016285301189671692,0.019607843137254905,0.5380710659898477,-0.014050368881252107,-0.0005898705921716272,0.5380710659898477
finaware_margin,197,0.0004719921631489935,-0.008771929824561405,0.49238578680203043,-0.013021957963499475,-0.00038016695534170834,0.45685279187817257
score_excel_like_plain,197,-0.0005165197257102162,0.021052631578947368,0.5329949238578681,0.018401180578849763,0.002032531741020828,0.5177664974619289
value_style,197,-0.0007035354884673646,0.005263157894736842,0.5177664974619289,-0.04154059715096692,-0.0030308129878879203,0.467005076142132
financial_quality_proxy,197,-0.004060913705583761,-0.021052631578947368,0.47715736040609136,0.008143830003236596,0.0012515757290753758,0.49238578680203043
margin,197,-0.005601567370202151,-0.007017543859649123,0.49746192893401014,-0.004866517627369782,0.00022694326195199228,0.49746192893401014
score_final_screen_only,197,-0.0077567013981654645,-0.010526315789473684,0.49746192893401014,-0.011947095986159395,-0.0003352109753566094,0.48223350253807107
lowvol,197,-0.01572713509662481,0.005263157894736842,0.5025380710659898,-0.03236737953187929,-0.0016776218733916353,0.47715736040609136
finaware_quality,197,-0.018185056550004457,-0.012280701754385965,0.47715736040609136,-0.023451253907162406,-0.0015052041382390283,0.4619289340101523
quality_style,197,-0.019262623563986104,-0.005263157894736842,0.4873096446700508,-0.0022098580102010157,0.00033335120796392447,0.45685279187817257
