market,version,result_type,source_file,metric,label,candidate_type,buckets,components,component_count,coverage,ratio_cagr,top_worst_ratio_return,ratio_max_drawdown,tracking_error,avg_turnover,robust_score,max_component_robust,max_component_ratio_cagr,max_component_top_worst,synergy_score,classification,left_out,left_out_bucket,full_model_metric,full_robust_score,without_robust_score,loo_contribution,full_ratio_cagr,without_ratio_cagr,ratio_contribution,benchmark,side,status,message,start_date,run_dir,family,role,direction,non_null_rows,first_date,last_date,avg_names_per_month,note,days,avg_holdings,valid,cagr,vol,sharpe,max_drawdown,ratio_return,information_ratio,rolling_3y_min_ratio_cagr,annual_active_hit_rate,perf_ptf,perf_bench,top_worst_ratio_max_drawdown,worst_ratio_return,theme,inputs,min_count,pass_gate,fail_reasons
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_9b8021eb58,growth + quality_improvement + value_improvement,family_subset,growth|quality_improvement|value_improvement,sp500_syn_bucket_growth|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_value_improvement,3.0,,0.0545114584707837,3.680464841303637,-0.1047943001173635,0.0588079869587662,0.635675555292211,3.037059774609725,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_e5c1a446e9,revision + quality_improvement + value_improvement,family_subset,revision|quality_improvement|value_improvement,sp500_syn_bucket_revision|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_value_improvement,3.0,,0.0520106534623745,3.7028217830659953,-0.0940449701677822,0.0546432738327142,0.6495150249907563,2.9763809327638766,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_32764adaa1,quality_level + quality_improvement + deleveraging,family_subset,quality_level|quality_improvement|deleveraging,sp500_syn_bucket_quality_level|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging,3.0,,0.0483681114408685,3.9302044613611766,-0.0949804731562378,0.0452514732903428,0.3840094425090298,2.9480929135473666,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_63b970fc78,quality_improvement + earnings_yield_improvement,family_subset,quality_improvement|earnings_yield_improvement,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_earnings_yield_improvement,2.0,,0.0522466804556747,3.64555781110268,-0.0972157580189828,0.0526862243402238,0.7209601148384076,2.9270809535743467,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_6983056933,quality_improvement + deleveraging + dividend_growth,family_subset,quality_improvement|deleveraging|dividend_growth,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_deleveraging|sp500_syn_bucket_dividend_growth,3.0,,0.0516281605876778,3.417505836139119,-0.0807273814714453,0.0493321405279107,0.3825083982014049,2.8510777943145102,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_974828f354,revision + quality_improvement + risk_decline,family_subset,revision|quality_improvement|risk_decline,sp500_syn_bucket_revision|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_risk_decline,3.0,,0.0515399759259158,3.22015546185846,-0.0942954082668351,0.0511174480657744,0.6554756742336554,2.707495534290677,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_693104f7b4,revision + quality_improvement,family_subset,revision|quality_improvement,sp500_syn_bucket_revision|sp500_syn_bucket_quality_improvement,2.0,,0.0528481439484047,2.971162627662159,-0.0840113633768635,0.0566770971059179,0.4586218193159503,2.66083152996647,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_80e5ee3500,earnings_yield_improvement + deleveraging + value_improvement,family_subset,earnings_yield_improvement|deleveraging|value_improvement,sp500_syn_bucket_earnings_yield_improvement|sp500_syn_bucket_deleveraging|sp500_syn_bucket_value_improvement,3.0,,0.0475159401652198,2.962838646968442,-0.0767583785796933,0.0536042297134692,0.7402344876904179,2.475790214450648,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_0a017d4ef0,quality_level + quality_improvement + risk_decline,family_subset,quality_level|quality_improvement|risk_decline,sp500_syn_bucket_quality_level|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_risk_decline,3.0,,0.0500431970600401,2.723059088778757,-0.088200889142111,0.0452809202813519,0.6203212577382827,2.4263091445020075,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_a14f7a807e,growth + quality_improvement + risk_decline,family_subset,growth|quality_improvement|risk_decline,sp500_syn_bucket_growth|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_risk_decline,3.0,,0.047975993160457,2.792545369543783,-0.0918619760069354,0.0520952826192742,0.6426656599238685,2.3784391852989017,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
